Student ID,Student Name,Student Email,Program,01 Sep,02 Sep,03 Sep,04 Sep,05 Sep,06 Sep,07 Sep,08 Sep,09 Sep,10 Sep,11 Sep,12 Sep,13 Sep,14 Sep,15 Sep,16 Sep,17 Sep,18 Sep,19 Sep,20 Sep,21 Sep,22 Sep,23 Sep,24 Sep,25 Sep,27 Sep,28 Sep,29 Sep
STU-001,Ali Raza,saadhashdev@gmail.com,BS Computer Science,Present,Present,Present,Absent,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent
STU-002,Afzal Akram,imafzalakram@gmail.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Absent,Present
STU-003,Ashbil,ashbil.work@gmail.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Absent
STU-004,Usman Tariq,usman.tariq@example.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
STU-005,Hamza Shah,hamza.shah@example.com,BS Computer Science,Present,Present,Absent,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Present,Present,Present,Present
STU-006,Bilal Ahmed,bilal.ahmed@example.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present
STU-007,Talha Mahmood,talha.mahmood@example.com,BS Computer Science,Present,Present,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Present,Present,Absent,Present,Present,Present,Absent,Present,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent
STU-008,Saad Iqbal,saadhashdev@gmail.com,BS Computer Science,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
STU-009,Abdullah Khan,abdullah.khan@example.com,BS Computer Science,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present
STU-010,Ahsan Rauf,ahsan.rauf@example.com,BS Computer Science,Absent,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present
STU-011,Danish Ali,danish.ali@example.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Absent
STU-012,Fahad Malik,fahad.malik@example.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present
STU-013,Huzaifa Ahmed,huzaifa.ahmed@example.com,BS Computer Science,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
STU-014,Zain Ul Abidin,zain.ul.abidin@example.com,BS Computer Science,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present
